# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	18219
#@/user_id	36911b7b-e7c1-441a-b6ce-954133c0c2c7
a 	啊	c=52 d=1.0149 t=17937
pai chu 	排除	c=0 d=0.1 t=63
pai chu wen jian 	排除文件	c=1 d=1 t=64
pai da xing 	派大星	c=1 d=1 t=7607
pai gei 	派給	c=1 d=1 t=11036
pai ji 	排擠	c=1 d=1.07298 t=10106
pai lie 	排列	c=1 d=0.1 t=6694
pai lie fang shi 	排列方式	c=1 d=1 t=6695
pai lou 	牌樓	c=0 d=0.1 t=3750
pai ming 	排名	c=0 d=0.1 t=15190
pai xu 	排序	c=7 d=1 t=11998
pai xu fang shi 	排序方式	c=1 d=1 t=1790
pan 	盤	c=1 d=1 t=11957
pan du 	判讀	c=2 d=1 t=11811
pan duan 	判斷	c=17 d=3.582 t=11817
pang 	胖	c=0 d=0.1 t=9173
pang bian 	旁邊	c=3 d=1.80811 t=12343
pang bian ti qiu 	旁邊踢球	c=1 d=1 t=12064
pang da 	龐大	c=1 d=1 t=13735
pang guo wo 	胖過我	c=1 d=1 t=1733
pang shi jin 	胖十斤	c=1 d=1 t=9174
pang zi 	胖子	c=1 d=1 t=12741
pao 	跑	c=2 d=1 t=9797
pao bu 	跑步	c=3 d=1 t=14484
pao bu me 	跑步麼	c=1 d=1 t=9803
pao chu 	拋出	c=1 d=1 t=11801
pao fu 	泡芙	c=0 d=0.1 t=2932
pao fu yun 	泡芙雲	c=2 d=1.18452 t=3271
pao kai 	拋開	c=1 d=1 t=17415
pao kai 	跑開	c=0 d=0.1 t=16238
pao mian 	泡麪	c=1 d=1 t=9681
pao mo 	泡沫	c=2 d=1.00202 t=9193
pao qi 	拋棄	c=1 d=1 t=11417
pao qi lai 	跑起來	c=1 d=1 t=8084
pao zi 	狍子	c=1 d=1 t=1430
pei 	呸	c=1 d=1 t=5450
pei 	賠	c=1 d=1 t=14115
pei 	配	c=1 d=1 t=13162
pei 	陪	c=3 d=1.00614 t=16885
pei e zhi 	配额制	c=1 d=1 t=27
pei fu 	佩服	c=2 d=1.99501 t=6352
pei ge 	配個	c=1 d=1 t=13206
pei lv 	賠率	c=1 d=1 t=14089
pei peng you 	陪朋友	c=1 d=1 t=15297
pei se 	配色	c=1 d=1 t=22
pei ta 	陪他	c=1 d=1.09418 t=14083
pei ta 	陪她	c=1 d=1 t=2694
pei wo 	陪我	c=0 d=0.1 t=7638
pei xun 	培訓	c=3 d=2.68842 t=9391
pei zhe 	陪着	c=1 d=1 t=16835
pei zhe ni 	陪着你	c=0 d=0.197531 t=2641
pei zhe ni de 	陪着你的	c=1 d=1 t=2642
pei zhi 	配置	c=16 d=1.01005 t=15712
peng 	鵬	c=0 d=0.1 t=317
peng dao 	碰到	c=0 d=0.1 t=6491
peng dao ni 	碰到你	c=1 d=1 t=6492
peng you 	朋友	c=8 d=1.00304 t=16919
peng you quan 	朋友圈	c=1 d=0.100004 t=10396
peng you quan le 	朋友圈了	c=1 d=1 t=10397
pi 	屁	c=6 d=1.49502 t=14178
pi 	皮	c=2 d=1 t=7811
pi pa xing 	琵琶行	c=1 d=1 t=15532
pi pei 	匹配	c=1 d=1 t=5245
pi sa 	批薩	c=1 d=1 t=9484
pi shi 	屁事	c=1 d=1 t=14167
pian 	片	c=1 d=1 t=14804
pian 	篇	c=1 d=1 t=7730
pian duan 	片段	c=1 d=1 t=9354
pian tou 	片頭	c=0 d=0.1 t=3682
pian tou chang du 	片頭長度	c=1 d=1 t=3683
pian wei 	片尾	c=0 d=0.1 t=3683
pian wei chang du 	片尾長度	c=1 d=1 t=3684
pian yi 	便宜	c=2 d=1 t=17904
pian yi 	偏移	c=1 d=1.09501 t=3122
pian yi liang 	偏移量	c=3 d=2.96042 t=3852
pian zhong 	偏重	c=1 d=1 t=11607
piao liang 	漂亮	c=1 d=1 t=16742
piao liang le 	漂亮了	c=0 d=0.1 t=1728
piao piao 	票票	c=0 d=0.1 t=9382
pin 	品	c=0 d=0.1 t=9550
pin 	拼	c=1 d=1 t=9552
pin du 	頻度	c=2 d=1.956 t=4803
pin duo duo 	品多多	c=1 d=1 t=9551
pin jie 	拼接	c=1 d=1 t=5206
pin le 	拼了	c=1 d=1 t=15889
pin ming 	拼命	c=0 d=0.1 t=6557
pin zhi 	品質	c=1 d=1 t=13993
ping 	平	c=1 d=1 t=10889
ping ce 	評測	c=1 d=1 t=11718
ping chang 	平常	c=0 d=0.1 t=15351
ping chang zuo ye 	平常作業	c=1 d=1 t=15352
ping fang 	平方	c=0 d=0.1 t=4881
ping fang xing 	平方型	c=1 d=1 t=4882
ping guo 	蘋果	c=6 d=1.00001 t=18031
ping jia 	評價	c=3 d=2.07091 t=17056
ping kan 	平砍	c=0 d=0.1 t=9181
ping lun 	評論	c=1 d=1 t=14062
ping mian 	平面	c=1 d=1 t=3019
ping mu 	屏幕	c=1 d=1 t=10344
ping sha 	憑啥	c=1 d=1 t=7482
ping ta 	憑她	c=1 d=1 t=6447
ping tai 	平臺	c=1 d=1 t=4001
ping tan 	平攤	c=1 d=1 t=6200
ping zi 	瓶子	c=0 d=0.1 t=11730
ping zi jun 	瓶子君	c=1 d=1 t=11731
po huai le 	破壞了	c=3 d=1 t=12580
po jie 	破解	c=3 d=1.99021 t=13892
po jie ban 	破解版	c=3 d=1 t=15123
po jie shi sha 	破解是啥	c=1 d=1 t=965
po po 	婆婆	c=1 d=1 t=17143
po zi 	破字	c=1 d=1 t=14224
pu 	噗	c=6 d=1.00352 t=12443
pu 	普	c=0 d=0.1 t=6854
pu dian 	鋪墊	c=0 d=0.1 t=17861
pu tao 	葡萄	c=2 d=1.9802 t=14238
pu tong 	普通	c=1 d=1.00069 t=9008
pu tong shu chu 	普通輸出	c=1 d=1 t=1657
pu tong xue sheng 	普通學生	c=1 d=1 t=6855
qi 	⑦	c=1 d=1 t=14424
qi 	其	c=3 d=1.00285 t=5900
qi 	器	c=8 d=1.01945 t=17166
qi 	奇	c=0 d=0.1 t=10286
qi 	氣	c=0 d=0.1 t=14482
qi 	起	c=0 d=0.100112 t=15281
qi bu 	起步	c=1 d=1 t=9158
qi bu shi 	豈不是	c=0 d=0.1 t=15499
qi che 	汽車	c=1 d=1 t=9460
qi chuang 	起牀	c=2 d=1.02328 t=9643
qi chuang le 	起牀了	c=1 d=1 t=9642
qi de 	起得	c=1 d=1 t=8872
qi dong 	啓動	c=3 d=2.82202 t=99
qi guai 	奇怪	c=1 d=1 t=1572
qi jian dian 	旗艦店	c=0 d=0.1 t=13144
qi lai 	七瀨	c=1 d=1 t=3410
qi lai 	起來	c=4 d=0.1 t=15477
qi lai qiao dai ma 	起來敲代碼	c=1 d=1 t=2593
qi le 	起了	c=1 d=1 t=10286
qi le guai le 	奇了怪了	c=1 d=1 t=10287
qi pao 	旗袍	c=1 d=1 t=1007
qi pao 	氣泡	c=1 d=1 t=1008
qi qi guai guai 	奇奇怪怪	c=2 d=1 t=16472
qi ren 	氣人	c=1 d=0.1 t=16863
qi shang 	其上	c=2 d=1 t=8800
qi she 	⑦舍	c=1 d=1 t=10691
qi shi 	其實	c=3 d=1.01402 t=12497
qi shi 	歧視	c=1 d=1.09501 t=9168
qi shi mei you 	其實沒有	c=1 d=1 t=12105
qi shi ye 	企事業	c=0 d=0.1 t=814
qi shi ye bu shi 	其實也不是	c=1 d=1 t=906
qi shi ye mei you 	企事業沒有	c=1 d=1 t=815
qi ta 	其他	c=2 d=0.1 t=15144
qi ta 	其它	c=1 d=1 t=12045
qi ta de 	其他的	c=6 d=1.96081 t=17351
qi ta guan xi 	其他關係	c=1 d=1 t=4367
qi ta pei zhi 	其他配置	c=1 d=1 t=418
qi ta ren 	其他人	c=1 d=1 t=17812
qi ta zhuang ye 	其他裝也	c=1 d=1 t=15145
qi tian 	七天	c=4 d=1.97048 t=13157
qi wang 	期望	c=1 d=0.1 t=15672
qi yi ge 	起一個	c=1 d=1 t=15282
qi yong 	啓用	c=4 d=3.65808 t=8169
qi you 	汽油	c=1 d=1 t=9459
qia qiao 	恰巧	c=1 d=1 t=15311
qia wo 	掐我	c=1 d=1.1 t=9878
qian 	前	c=1 d=1 t=111
qian 	錢	c=1 d=0.100087 t=17641
qian bao 	錢包	c=1 d=1 t=9411
qian dao 	簽到	c=15 d=1.00385 t=16011
qian duan 	前端	c=21 d=1 t=17424
qian duan xian shi 	前端顯示	c=1 d=1 t=8739
qian duo 	錢多	c=0 d=0.1 t=3828
qian duo yi dian 	錢多一點	c=1 d=1 t=3829
qian ji tian 	前幾天	c=1 d=1 t=15504
qian liang tian 	前兩天	c=0 d=0.1 t=81
qian mian 	前面	c=2 d=1 t=17174
qian nan you 	前男友	c=2 d=1 t=14318
qian qian que ge 	千千阙歌	c=1 d=1 t=7950
qian qu 	前驅	c=2 d=1 t=7750
qian ren 	前任	c=1 d=1.09005 t=6514
qian ru 	嵌入	c=1 d=1 t=16671
qian ru shi 	嵌入式	c=1 d=1 t=13406
qian se 	淺色	c=1 d=1 t=23
qian ti 	前提	c=3 d=1 t=9200
qian yi 	遷移	c=1 d=1 t=852
qiang 	強	c=4 d=1.00007 t=14369
qiang 	搶	c=9 d=1.11765 t=12462
qiang 	牆	c=1 d=0.199759 t=13102
qiang bu dao 	搶不到	c=1 d=1 t=8548
qiang da 	搶答	c=5 d=1.01349 t=8116
qiang po zheng 	強迫症	c=0 d=0.1 t=6551
qiang shang 	牆上	c=1 d=1 t=1410
qiang zhi 	強制	c=3 d=1.96562 t=11123
qiao 	敲	c=0 d=0.1 t=2592
qiao 	瞧	c=0 d=0.1 t=9140
qiao ba ni 	瞧把你	c=1 d=1 t=9141
qiao bu qi 	瞧不起	c=1 d=1 t=11199
qiao bu qi shui le 	瞧不起誰了	c=1 d=1 t=9162
qiao ke li 	巧克力	c=1 d=1 t=10394
qie 	且	c=1 d=1 t=14111
qie huan 	切換	c=8 d=2.0547 t=4261
qie huan dao 	切換到	c=1 d=1 t=1878
qie kai 	切開	c=1 d=1 t=9058
qin 	勤	c=1 d=1 t=16123
qin 	親	c=0 d=0.1 t=8313
qin ai 	親愛	c=1 d=1 t=2699
qin ai de 	親愛的	c=1 d=1 t=6754
qin min 	親民	c=1 d=1 t=18025
qin qi lai 	親起來	c=1 d=1 t=8314
qin qin 	親親	c=0 d=0.1 t=18173
qin qin guo yuan 	親親果園	c=1 d=1 t=18174
qin quan 	侵權	c=1 d=1 t=11265
qin shi 	寢室	c=4 d=0.319808 t=14449
qing 	情	c=2 d=1 t=13833
qing 	請	c=11 d=0.10032 t=14134
qing 	輕	c=1 d=1 t=9832
qing ba 	請把	c=2 d=1.56553 t=7364
qing bu dong 	請不動	c=0 d=0.1 t=2355
qing bu yao 	請不要	c=2 d=1.00091 t=8724
qing chi fan 	請喫飯	c=2 d=1.41066 t=3287
qing chong xin 	請重新	c=1 d=1 t=8735
qing chu 	清楚	c=1 d=1 t=8840
qing da 	請打	c=1 d=1 t=7060
qing dou qing bu dong 	請都請不動	c=1 d=1 t=2356
qing ge 	情歌	c=1 d=1 t=7954
qing ge wang 	請歌王	c=1 d=1 t=8937
qing gong 	輕工	c=0 d=0.1 t=16121
qing gong jian xue 	輕工儉學	c=1 d=1 t=16122
qing gui 	輕軌	c=2 d=1 t=9313
qing hua 	清華	c=4 d=1.24254 t=10902
qing huang 	青黃	c=1 d=1 t=9791
qing jiao 	請教	c=1 d=1.09501 t=14875
qing jiao ge 	請交割	c=1 d=1 t=1560
qing jiao wen ti 	請教問題	c=1 d=1 t=14876
qing jie 	情節	c=0 d=0.1 t=1396
qing jie le 	情節了	c=1 d=1 t=1397
qing kan 	請看	c=1 d=1 t=7007
qing kong 	清空	c=2 d=1.99005 t=11738
qing kuang 	情況	c=5 d=0.1 t=16079
qing kuang shi 	情況時	c=1 d=1 t=5315
qing kuang xia 	情況下	c=2 d=1 t=16085
qing lao 	請老	c=0 d=0.1 t=11233
qing lao ge 	請老哥	c=1 d=1 t=11234
qing lv 	情侶	c=1 d=1 t=12560
qing lv zhong jian 	情侶中間	c=1 d=1 t=2618
qing ming 	清明	c=1 d=1 t=9208
qing ni 	請你	c=2 d=0.1 t=12927
qing ni he nai cha 	請你喝奶茶	c=1 d=1 t=12928
qing qiu 	請求	c=23 d=2.73012 t=17845
qing qiu shu ju 	請求數據	c=1 d=1 t=16328
qing qiu ying gai zhi bei yong yu 	請求應該只被用於	c=1 d=1 t=16327
qing ren jie 	情人節	c=1 d=1 t=12381
qing shu ru 	請輸入	c=1 d=1 t=12121
qing song 	輕鬆	c=1 d=1 t=12346
qing wen 	請問	c=2 d=1 t=14895
qing wo 	請我	c=1 d=1 t=14130
qing xi 	清晰	c=1 d=1 t=17708
qing ying 	請纓	c=1 d=1 t=2365
qing yu san 	晴雨伞	c=1 d=1 t=7604
qing zai 	請在	c=1 d=1 t=1003
qing zhu 	慶祝	c=2 d=1.96561 t=10442
qiong 	窮	c=0 d=0.1 t=9043
qiong bu qiong 	窮不窮	c=1 d=1 t=9044
qiong de 	窮得	c=1 d=1 t=18208
qiong jie 	瓊姐	c=1 d=1 t=560
qiu 	求	c=2 d=1 t=13082
qiu 	球	c=2 d=1 t=16689
qiu jie 	求解	c=1 d=1 t=7654
qiu jing 	求精	c=1 d=1 t=5963
qiu jiu 	求救	c=1 d=1 t=561
qiu xian xing biao 	求線性表	c=1 d=1 t=5004
qiu zhu 	求助	c=1 d=1 t=72
qu 	區	c=1 d=0.659898 t=10829
qu 	去	c=17 d=2.96314 t=17930
qu 	取	c=3 d=1.05004 t=9952
qu ai 	去愛	c=1 d=1 t=12828
qu ba 	去吧	c=2 d=1 t=14723
qu bei 	去唄	c=1 d=1 t=8918
qu bie 	區別	c=9 d=1 t=13530
qu chao shi 	去超市	c=1 d=1 t=9860
qu chi 	去喫	c=1 d=1 t=7640
qu chu 	去除	c=1 d=1 t=2273
qu de 	去的	c=3 d=1 t=15866
qu de 	取得	c=1 d=1.099 t=953
qu diao 	去掉	c=1 d=1 t=6230
qu fen 	區分	c=2 d=1 t=8731
qu he nai cha 	去喝奶茶	c=1 d=1 t=12952
qu huo 	去火	c=1 d=1 t=1263
qu kan 	去看	c=1 d=0.102726 t=15869
qu kan dian ying 	去看電影	c=1 d=1 t=15870
qu kao shi 	去考試	c=1 d=1 t=13809
qu kuai 	區塊	c=0 d=0.1 t=5068
qu kuai di 	取快遞	c=2 d=1.39063 t=3283
qu kuai lian 	區塊鏈	c=1 d=1 t=5069
qu le 	去了	c=5 d=1 t=15803
qu na er 	去哪兒	c=2 d=1.01246 t=10731
qu qi jian dian 	去旗艦店	c=1 d=1 t=13145
qu qu 	去取	c=1 d=1 t=3102
qu she jian 	去射箭	c=1 d=1 t=15446
qu shi shi 	去試試	c=1 d=1 t=15457
qu wen 	去問	c=1 d=1 t=12375
qu xian 	曲線	c=0 d=0.1 t=2502
qu xian han shu 	曲線函數	c=1 d=1 t=2503
qu xiao 	取消	c=1 d=1 t=8095
qu xue xi 	去學習	c=1 d=1 t=13712
qu ying pin 	去應聘	c=1 d=1 t=17086
quan 	全	c=1 d=1 t=7050
quan 	券	c=0 d=0.1 t=12024
quan 	圈	c=2 d=1 t=15648
quan bu 	全部	c=2 d=1 t=13350
quan bu shu ju 	全部數據	c=1 d=1 t=1370
quan cheng 	全程	c=0 d=0.1 t=5982
quan cheng liang 	全程量	c=1 d=1 t=5983
quan dui 	全對	c=1 d=1 t=13870
quan he 	勸和	c=0 d=0.1 t=14036
quan hui 	全會	c=1 d=1 t=13858
quan ju 	全局	c=1 d=1 t=6021
quan ju bian liang 	全局变量	c=1 d=1 t=5974
quan ping 	全憑	c=1 d=1 t=9095
quan shi 	全是	c=1 d=1 t=15486
quan shu 	全書	c=1 d=1 t=13359
quan xian 	權限	c=1 d=1 t=13397
que 	卻	c=0 d=0.1 t=13091
que bu 	卻不	c=0 d=0.1 t=12334
que de shi 	缺德事	c=1 d=1 t=10404
que dian 	缺點	c=2 d=1 t=8980
que ding 	確定	c=0 d=0.1 t=4522
que ding xing 	確定性	c=1 d=1 t=4517
que he ni men 	卻和你們	c=1 d=1 t=13092
que shi 	確實	c=1 d=0.100842 t=11273
que yang 	缺氧	c=1 d=1 t=6925
qun 	羣	c=1 d=1 t=10038
qun ju dong wu 	羣居動物	c=1 d=1 t=10042
qun li 	羣裏	c=1 d=1 t=16039
qun xiao xi 	群消息	c=1 d=1 t=12611
qun zi 	裙子	c=1 d=1 t=9405
ran hou 	然後	c=107 d=2.17359 t=18086
ran jin 	燃盡	c=0 d=0.1 t=8095
ran jin ou 	燃盡偶	c=1 d=1 t=8096
ran qi 	燃氣	c=1 d=1 t=9455
rang 	讓	c=7 d=1.00002 t=12223
rang ni 	讓你	c=2 d=1 t=9214
rang ta 	讓他	c=1 d=1 t=12265
rang wo 	讓我	c=4 d=1.09348 t=13247
rang wo men 	讓我們	c=1 d=1 t=8333
rang zi ji 	讓自己	c=1 d=1 t=6844
rao guo 	繞過	c=2 d=1.77539 t=17591
re 	熱	c=0 d=0.1 t=11966
re bu shi 	熱不是	c=1 d=1 t=11967
re nao 	熱鬧	c=0 d=0.1 t=15493
re wu ran 	熱污染	c=0 d=0.1 t=7854
re xue 	熱血	c=1 d=1 t=3118
ren 	人	c=18 d=2.44246 t=17000
ren 	認	c=0 d=0.1 t=14200
ren bu 	人不	c=0 d=0.1 t=14198
ren bu ren de 	人不人的	c=1 d=1 t=14199
ren bu ren shi 	認不認識	c=1 d=1 t=14201
ren bu zhu 	忍不住	c=1 d=1 t=12796
ren de 	人的	c=0 d=0.1 t=14198
ren gong zhi neng 	人工智能	c=2 d=1.93707 t=1235
ren gou 	認購	c=0 d=0.1 t=5846
ren guan xin 	人關心	c=1 d=1 t=14174
ren he 	任何	c=2 d=1 t=17571
ren hua 	人話	c=1 d=1 t=6460
ren lei 	人類	c=2 d=1 t=13743
ren lian shi bie 	人脸识别	c=1 d=1 t=3940
ren mei 	人美	c=1 d=1 t=7947
ren men 	人們	c=2 d=1 t=11392
ren mi de 	人米的	c=1 d=1 t=11715
ren pi ke zhan 	人皮客栈	c=1 d=1 t=6193
ren sheng 	人生	c=1 d=1.09704 t=17054
ren sheng lu 	人生路	c=1 d=1 t=15471
ren shi 	認識	c=2 d=0.1 t=14196
ren shi de 	認識的	c=1 d=1 t=13087
ren tong 	認同	c=1 d=1 t=11423
ren wei 	人爲	c=1 d=0.332236 t=6517
ren wei 	認爲	c=4 d=1.08146 t=10098
ren wu 	任務	c=2 d=1 t=7719
ren yi 	任意	c=1 d=0.103028 t=17773
ren yi guan xi 	任意關係	c=1 d=1 t=4378
ren yi pei zhi 	任意配置	c=1 d=1 t=4461
ren yuan 	人員	c=1 d=1 t=7358
ren yuan 	人緣	c=1 d=1 t=14362
ren zhen 	認真	c=2 d=1 t=10000
ren zhi yi jin 	仁至義盡	c=1 d=1 t=6646
ren zhu 	忍住	c=0 d=0.1 t=10347
ren zhu le 	忍住了	c=1 d=1 t=10348
ri 	日	c=2 d=0.100001 t=12017
ri ban 	日版	c=1 d=1 t=7979
ri ben 	日本	c=1 d=1 t=3746
ri ji 	日記	c=5 d=2.57695 t=12012
ri qi 	日期	c=1 d=1 t=1858
ri xing yi shan 	日行一善	c=1 d=1 t=15314
ri yong 	日用	c=1 d=1 t=9476
ri yong pin 	日用品	c=1 d=1 t=887
ri yuan 	日元	c=1 d=1 t=6685
ri zhi 	日誌	c=3 d=1 t=8691
ri zi 	日子	c=1 d=1 t=12390
ri zi hai shi yang 	日子還是樣	c=1 d=1 t=2661
ri zong jie 	日總結	c=1 d=1 t=12018
rong qi 	容器	c=3 d=2.53311 t=131
rong yao 	榮耀	c=1 d=1 t=9523
rong yi 	容易	c=0 d=0.1 t=4612
rong yi biao shi 	容易表示	c=1 d=1 t=4613
rong yu 	榮譽	c=0 d=0.1 t=7352
rong yu qiang 	榮譽牆	c=1 d=1 t=7353
rou 	肉	c=1 d=0.1 t=15858
rou lin 	蹂躪	c=1 d=1 t=9850
rou yi rou 	揉一揉	c=2 d=1.99005 t=9901
ru 	入	c=0 d=0.1 t=14332
ru 	如	c=2 d=1.00005 t=17758
ru ci 	如此	c=1 d=1 t=11496
ru dang 	入黨	c=0 d=0.1 t=14303
ru gu 	入股	c=0 d=0.1 t=6869
ru gu ke yi 	入股可以	c=1 d=1 t=6870
ru guo 	如果	c=31 d=1.78834 t=17973
ru guo you de 	如果有的	c=1 d=1 t=11003
ru guo yu suan 	如果預算	c=1 d=1 t=17974
ru he 	如何	c=5 d=1 t=16146
ru he rang 	如何讓	c=1 d=1 t=832
ru kou 	入口	c=1 d=0.1 t=5965
ru men 	入門	c=0 d=0.1 t=14570
ru men kuan 	入門款	c=1 d=1 t=14571
ru pian 	如片	c=1 d=1 t=3499
ru qin 	入侵	c=1 d=1 t=10532
ru tu 	如圖	c=1 d=1 t=11993
ru xia 	如下	c=4 d=0.967868 t=17781
ru xiang 	乳香	c=1 d=1 t=3592
ru zhan 	入棧	c=6 d=5.54232 t=11807
ruan jian 	軟件	c=24 d=4.36411 t=18096
ruan lian jie 	软连接	c=1 d=1 t=31
ruo 	弱	c=1 d=1 t=5591
ruo 	若	c=1 d=1 t=10597
sa 	撒	c=0 d=0.732135 t=1060
sa a a a a a a a a a a a a a a a a a a a a a a 	撒啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊	c=1 d=1 t=1043
sa da shi dai 	撒大時代	c=2 d=2.15326 t=1059
sa da shi dai sa da shi dai sa da shi dai shi 	撒大時代撒大時代撒大時代是	c=1 d=1 t=1040
sa dan 	撒旦	c=0 d=0.293605 t=1022
sa ding ding ding ding ding ding ding ding ding ding ding ding ding ding ding ding 	撒頂頂頂頂頂頂頂頂頂頂頂頂頂頂頂頂	c=1 d=1 t=1058
sai de sa 	赛德萨	c=1 d=1 t=1037
san 	三	c=0 d=0.1 t=7977
san 	傘	c=0 d=0.1 t=15300
san bei 	三杯	c=1 d=1 t=3305
san bu fen 	三部分	c=1 d=1 t=4894
san bu shang lan 	三步上篮	c=1 d=1 t=10866
san da 	三大	c=5 d=1 t=4998
san da sa da suan da shi dai 	三大撒打算大時代	c=1 d=1 t=1034
san dian 	三點	c=1 d=1 t=15833
san ge 	三個	c=5 d=1 t=15882
san guan 	三观	c=0 d=0.1 t=16855
san guan bu fu 	三观不服	c=1 d=1 t=16856
san hao 	三號	c=1 d=1.09608 t=3758
san hao pai lou 	三號牌樓	c=1 d=1 t=3751
san jiao 	三教	c=1 d=1 t=3220
san jiao xing 	三角形	c=3 d=2.8509 t=15656
san quan 	三全	c=1 d=1 t=1048
san shi sui 	三十歲	c=1 d=1.18695 t=1044
san wang tong 	三網通	c=1 d=1 t=7978
san ya 	三亞	c=1 d=1 t=5169
san yuan 	三元	c=1 d=1 t=13882
san zhong 	三種	c=2 d=0.1 t=14710
san zhong dong hua 	三種動畫	c=1 d=1 t=14711
sang xin bing kuang 	喪心病狂	c=1 d=1 t=10636
sao 	掃	c=0 d=0.1 t=16512
sao ma 	掃嗎	c=1 d=1 t=10689
sao miao 	掃描	c=2 d=1.99005 t=16514
se cai 	色彩	c=1 d=1 t=3191
sen lin 	森林	c=1 d=1 t=14808
sha 	傻	c=0 d=0.1 t=11472
sha 	啥	c=24 d=1.00003 t=17990
sha bi 	傻逼	c=3 d=1.73639 t=11197
sha de 	啥的	c=2 d=1 t=14487
sha diao 	沙雕	c=2 d=1 t=14706
sha fang mian 	啥方面	c=1 d=1 t=6587
sha hao chu 	啥好處	c=1 d=1 t=10219
sha ren 	啥人	c=1 d=1 t=8283
sha sha 	傻傻	c=1 d=1 t=12508
sha shi 	啥是	c=1 d=1 t=3082
sha shi hou 	啥時候	c=2 d=0.1 t=18210
sha shi jian 	霎時間	c=1 d=1 t=2502
sha shi qing 	啥事情	c=2 d=1.99005 t=12970
sha si 	殺死	c=0 d=0.1 t=73
sha si hou 	殺死後	c=1 d=1 t=74
sha wei dao 	啥味道	c=1 d=1 t=1266
sha ya 	啥呀	c=1 d=1 t=618
sha yang 	啥樣	c=0 d=0.199501 t=10553
sha yang zi 	啥樣子	c=1 d=1 t=1837
sha ye 	啥也	c=1 d=1.00027 t=17027
sha ye ting bu jian 	啥也聽不見	c=1 d=1 t=15844
sha yong 	啥用	c=1 d=1 t=11307
sha zan 	沙讚	c=1 d=1 t=15134
sha zi 	沙子	c=1 d=1 t=14463
shai 	曬	c=0 d=0.1 t=14481
shan 	刪	c=1 d=0.100488 t=14319
shan 	山	c=0 d=0.105313 t=8911
shan bu diao 	刪不掉	c=1 d=1 t=93
shan chang 	擅長	c=1 d=0.209154 t=14835
shan chu 	刪除	c=15 d=1 t=16369
shan chu de 	刪除的	c=1 d=1 t=3618
shan chu jie guo 	刪除結果	c=1 d=1 t=3620
shan chu le 	刪除了	c=2 d=1.98511 t=12755
shan chu wen jian 	刪除文件	c=2 d=1 t=3164
shan dong 	山東	c=1 d=1 t=12486
shan hao you 	刪好友	c=2 d=1 t=12762
shan ju 	山居	c=0 d=0.1 t=15528
shan le 	刪了	c=2 d=1 t=11266
shan mao 	山貓	c=1 d=1 t=3890
shan qu 	山區	c=1 d=1 t=9757
shan ta yi ba zhang 	刪他一巴掌	c=1 d=1 t=14320
shan xi 	山西	c=1 d=1 t=7444
shan xi 	陝西	c=1 d=1 t=7446
shang 	上	c=29 d=2.15695 t=18080
shang ban 	上班	c=3 d=1.00213 t=18070
shang ban ne me 	上班呢麼	c=1 d=1 t=16771
shang chang 	商場	c=3 d=1.01634 t=10390
shang chua 	上欻	c=1 d=1 t=8694
shang chuan 	上傳	c=12 d=1.00014 t=17820
shang chuan wen jian 	上傳文件	c=1 d=1 t=8700
shang ci 	上次	c=2 d=1.42956 t=893
shang da sa da 	上搭撒大	c=1 d=1 t=8919
shang de 	上的	c=1 d=1 t=15623
shang gang 	上崗	c=0 d=0.1 t=7200
shang ge 	上個	c=1 d=0.112277 t=1546
shang ge xue qi 	上個學期	c=1 d=1 t=1547
shang he 	商河	c=1 d=1 t=857
shang huo 	上火	c=0 d=0.100014 t=2939
shang huo le 	上活了	c=1 d=1 t=2939
shang huo le 	上火了	c=1 d=1 t=2940
shang jia 	上架	c=1 d=1 t=6876
shang ke 	上課	c=8 d=1.00083 t=16142
shang ke le 	上课了	c=1 d=1 t=10831
shang lai 	上來	c=1 d=1 t=10201
shang le 	上了	c=0 d=0.1 t=12624
shang liang 	商量	c=1 d=0.1 t=15846
shang liang de 	商量的	c=1 d=1 t=15847
shang mian 	上面	c=8 d=0.279476 t=18050
shang mian you 	上面右	c=1 d=1 t=4114
shang ni 	商擬	c=0 d=0.1 t=839
shang pin 	商品	c=1 d=1 t=8835
shang sha 	商廈	c=1 d=1 t=9474
shang ti yu ke 	上體育課	c=1 d=1 t=10863
shang wei 	傷胃	c=1 d=1 t=2869
shang wu 	上午	c=1 d=1 t=7172
shang xi 	賞析	c=1 d=1 t=15526
shang xia 	上下	c=1 d=0.1 t=13344
shang xia ban 	上下班	c=1 d=1 t=16818
shang xia liang ce 	上下兩冊	c=1 d=1 t=13345
shang xia zuo you 	上下左右	c=1 d=1 t=269
shang xian 	上線	c=1 d=1 t=17284
shang xian 	上限	c=2 d=1 t=17283
shang xin 	傷心	c=1 d=0.703566 t=12698
shang xin le 	傷心了	c=1 d=1 t=11207
shang xin shi 	傷心事	c=1 d=1 t=12617
shang xue 	上學	c=1 d=1 t=9145
shang yan 	上演	c=1 d=1 t=1511
shang yi 	上一	c=0 d=0.1 t=2341
shang yi 	上衣	c=3 d=1 t=16728
shang yi 	商議	c=1 d=1 t=10982
shang yi ceng 	上一層	c=1 d=1 t=5676
shang yi ge 	上一個	c=0 d=0.1 t=16152
